title,skills,level,rating,platform,combined_features
Advanced Excel 365 applications,"Learn Power Pivot, Pivot Tables, Pivot charts, solver, what if analysis and more",Beginner,4.5,Udemy,"Advanced Excel 365 applications Learn Power Pivot, Pivot Tables, Pivot charts, solver, what if analysis and more Beginner"
The Ultimate Microsoft Visio 2010 & 2013 Bundle - 19 Hours,"The Drop-Dead Simple Method to Mastering Microsoft Visio, Without Books, in Less Time Than You Thought",Beginner,4.1,Udemy,"The Ultimate Microsoft Visio 2010 & 2013 Bundle - 19 Hours The Drop-Dead Simple Method to Mastering Microsoft Visio, Without Books, in Less Time Than You Thought Beginner"
Aurelia For Beginners: The New Age JS Framework,A complete course to master Aurelia JS from ground up,Beginner,3.3,Udemy,Aurelia For Beginners: The New Age JS Framework A complete course to master Aurelia JS from ground up Beginner
ChatGPT for Software Testing - Test Automation Use Cases,Learn how to use ChatGPT for software testing and prepare automation scripts in any programming languages.,Intermediate,3.4,Udemy,ChatGPT for Software Testing - Test Automation Use Cases Learn how to use ChatGPT for software testing and prepare automation scripts in any programming languages. All Levels
Preparing for Google Cloud Certification: Cloud Architect,"{"" Google Cloud Platform"","" Cloud Computing"","" Cloud Applications"","" Cloud Engineering"","" Cloud Platforms"","" Cloud Infrastructure"","" Cloud Management"","" Cloud Storage"","" Other Cloud Platforms and Tools"","" Cloud Standards"","" Cloud-Based Integration"","" Computer Networking"","" DevOps"","" Google App Engine"","" Computer Architecture"","" Kubernetes"","" Billing & Invoicing"","" Computer Security Models"","" Critical Thinking"","" Network Architecture"","" Computer Programming"","" Operational Analysis"","" Software Testing"","" Leadership and Management""}",Intermediate,4.7,Coursera,"Preparing for Google Cloud Certification: Cloud Architect {"" Google Cloud Platform"","" Cloud Computing"","" Cloud Applications"","" Cloud Engineering"","" Cloud Platforms"","" Cloud Infrastructure"","" Cloud Management"","" Cloud Storage"","" Other Cloud Platforms and Tools"","" Cloud Standards"","" Cloud-Based Integration"","" Computer Networking"","" DevOps"","" Google App Engine"","" Computer Architecture"","" Kubernetes"","" Billing & Invoicing"","" Computer Security Models"","" Critical Thinking"","" Network Architecture"","" Computer Programming"","" Operational Analysis"","" Software Testing"","" Leadership and Management""} Intermediate "
#1 ITA Certified Tea Courses - Foundations of Chinese Tea,"ITA Certified Tea Course, true insider's tea knowledge of Chinese tea and global international tea industry. Tea Master",Intermediate,4.7,Udemy,"#1 ITA Certified Tea Courses - Foundations of Chinese Tea ITA Certified Tea Course, true insider's tea knowledge of Chinese tea and global international tea industry. Tea Master All Levels"
"Diversity, Equity, and Inclusion: A Beginner’s Guide","Practical strategies for developing your company's global Diversity, Equity, and Inclusion function",Beginner,4.5,Udemy,"Diversity, Equity, and Inclusion: A Beginner’s Guide Practical strategies for developing your company's global Diversity, Equity, and Inclusion function Beginner"
PHP Secure Login and Registration System + Email Activation,Create Secure Login and Registration System with Email Verification using HTML CSS PHP and  MYSQL from Scratch,Intermediate,4.0,Udemy,PHP Secure Login and Registration System + Email Activation Create Secure Login and Registration System with Email Verification using HTML CSS PHP and  MYSQL from Scratch All Levels
"Music Theory for Electronic Music COMPLETE: Parts 1, 2, & 3","Electronic music theory, digital music theory, and dance music theory. Learn music theory with ableton live and more!",Beginner,4.7,Udemy,"Music Theory for Electronic Music COMPLETE: Parts 1, 2, & 3 Electronic music theory, digital music theory, and dance music theory. Learn music theory with ableton live and more! Beginner"
Become A Freelancer with No Skills | Work From Home,Learn How to Become a Fiverr Freelancer Without Skills! Start Working From Home 2021! Build Your First Freelance Gig,Beginner,3.6,Udemy,Become A Freelancer with No Skills | Work From Home Learn How to Become a Fiverr Freelancer Without Skills! Start Working From Home 2021! Build Your First Freelance Gig Beginner
AWS Essentials - Hands-on Learning,With comprehensive material on each topic and demos / labs for each section,Intermediate,4.5,Udemy,AWS Essentials - Hands-on Learning With comprehensive material on each topic and demos / labs for each section All Levels
Make a Spotify Clone from Scratch: JavaScript PHP and MySQL,"Learn JavaScript, PHP and MySQL by building the ultimate music streaming website from scratch! The complete guide!",Intermediate,4.3,Udemy,"Make a Spotify Clone from Scratch: JavaScript PHP and MySQL Learn JavaScript, PHP and MySQL by building the ultimate music streaming website from scratch! The complete guide! All Levels"
PowerPoint Training - Learn PowerPoint Presentations,"Learn PowerPoint to create engaging PowerPoint presentations in 2022.  PowerPoint tutorials, quizzes, and exercises.",Intermediate,4.2,Udemy,"PowerPoint Training - Learn PowerPoint Presentations Learn PowerPoint to create engaging PowerPoint presentations in 2022.  PowerPoint tutorials, quizzes, and exercises. All Levels"
Dividend Champions and Dogs of the Dow High Yield Investing!,This course lifts you to mastery over the hottest proven income stock strategies from the Dogs of the Dow to the S&P 10.,Beginner,4.4,Udemy,Dividend Champions and Dogs of the Dow High Yield Investing! This course lifts you to mastery over the hottest proven income stock strategies from the Dogs of the Dow to the S&P 10. Beginner
GCP Google Cloud Professional DevOps Engineer Certification,Pass Google Cloud Professional DevOps Certification with 12+ Hours of HD quality video and 70+ Hands-on Practical labs,Intermediate,4.2,Udemy,GCP Google Cloud Professional DevOps Engineer Certification Pass Google Cloud Professional DevOps Certification with 12+ Hours of HD quality video and 70+ Hands-on Practical labs All Levels
Become A Learning Machine: How To Read 300 Books This Year,"Secrets From Elon Musk, Bill Gates and 22 Other Radically Successful People To Read Almost A Full Book A Day",Intermediate,4.2,Udemy,"Become A Learning Machine: How To Read 300 Books This Year Secrets From Elon Musk, Bill Gates and 22 Other Radically Successful People To Read Almost A Full Book A Day All Levels"
The Complete Forex Trading Course 2023: Basic to Advanced,Complete Forex trading Courses planned to help new traders to master Forex trading.,Intermediate,4.1,Udemy,The Complete Forex Trading Course 2023: Basic to Advanced Complete Forex trading Courses planned to help new traders to master Forex trading. All Levels
Unix Command Course for Beginners,"unix, linux, unix command, linux command, sed, awk, grep, find, sort, regular expression, compress, zip, gzip",Beginner,3.9,Udemy,"Unix Command Course for Beginners unix, linux, unix command, linux command, sed, awk, grep, find, sort, regular expression, compress, zip, gzip Beginner"
Mastering Options Trading,"Learn the nuances of trading in Options, from basic concepts to advanced trading strategies.",Intermediate,4.8,Udemy,"Mastering Options Trading Learn the nuances of trading in Options, from basic concepts to advanced trading strategies. Intermediate"
Build an Idle Business Tycoon Game with Unity3D & PlayMaker,Learn the power of PlayMaker and Visual Programming to create entire feature-filled games in Unity3d.,Intermediate,4.0,Udemy,Build an Idle Business Tycoon Game with Unity3D & PlayMaker Learn the power of PlayMaker and Visual Programming to create entire feature-filled games in Unity3d. All Levels
Alteryx Designer Core Certification Prep and Practice Tests,Get Certified: Prepare for Alteryx Designer Core Exam with Confidence. Master Alteryx Designer Core Concepts with Tests,Beginner,4.2,Udemy,Alteryx Designer Core Certification Prep and Practice Tests Get Certified: Prepare for Alteryx Designer Core Exam with Confidence. Master Alteryx Designer Core Concepts with Tests Beginner
PHP & JavaScript Basics for WordPress Users,Learn the basics of PHP and JavaScript required to become a WordPress Developer,Beginner,4.2,Udemy,PHP & JavaScript Basics for WordPress Users Learn the basics of PHP and JavaScript required to become a WordPress Developer Beginner
React and NodeJS: A Practical Guide with Typescript,"NodeJS with Typescript, React Hooks, Redux, MySQL, TypeORM, Upload Images, Export CSV",Intermediate,3.8,Udemy,"React and NodeJS: A Practical Guide with Typescript NodeJS with Typescript, React Hooks, Redux, MySQL, TypeORM, Upload Images, Export CSV All Levels"
Chess,Chess - How to become a Chess Master,Intermediate,4.7,Udemy,Chess Chess - How to become a Chess Master All Levels
AWS Certified Data Analytics Specialty 2023 - Hands On!,"Practice exam included! AWS DAS-C01 certification prep course with exercises. Kinesis, EMR, DynamoDB, Redshift and more!",Intermediate,4.7,Udemy,"AWS Certified Data Analytics Specialty 2023 - Hands On! Practice exam included! AWS DAS-C01 certification prep course with exercises. Kinesis, EMR, DynamoDB, Redshift and more! Intermediate"
Azure Cloud Azure Databricks Apache Spark Machine learning,"Big Data, Spark SQL, Hadoop, Kafka, Data Lake, Transfer Learning, Zeppelin Notebook, Graph, Hortonworks HDP, Cloudbreak",Intermediate,2.1,Udemy,"Azure Cloud Azure Databricks Apache Spark Machine learning Big Data, Spark SQL, Hadoop, Kafka, Data Lake, Transfer Learning, Zeppelin Notebook, Graph, Hortonworks HDP, Cloudbreak All Levels"
Naked Put Options Trade Covered Call & Poor Man Covered Call,"Options Trading - Learn to buy Stock at a Discount, enter a low risk covered call, Learn what is a Poor Man Covered Call",Intermediate,4.2,Udemy,"Naked Put Options Trade Covered Call & Poor Man Covered Call Options Trading - Learn to buy Stock at a Discount, enter a low risk covered call, Learn what is a Poor Man Covered Call All Levels"
Investing & Saving Techniques for Wealth-Minded People (US),A complete guide to wealth creation using effective income management and investing.,Beginner,4.0,Udemy,Investing & Saving Techniques for Wealth-Minded People (US) A complete guide to wealth creation using effective income management and investing. Beginner
Coaching for Growth and Success,"12 Ways to Bring Out the Best in Your Colleagues, Clients, and Team Members",Intermediate,4.5,Udemy,"Coaching for Growth and Success 12 Ways to Bring Out the Best in Your Colleagues, Clients, and Team Members All Levels"
Python for Absolute Beginners : Learn With Simple Examples,Learn Concepts with simple basics and examples and play with programming.,Intermediate,4.3,Udemy,Python for Absolute Beginners : Learn With Simple Examples Learn Concepts with simple basics and examples and play with programming. All Levels
Regression Analysis for Statistics & Machine Learning in R,Learn Complete Hands-On Regression Analysis for Practical Statistical Modelling and Machine Learning in R,Intermediate,4.6,Udemy,Regression Analysis for Statistics & Machine Learning in R Learn Complete Hands-On Regression Analysis for Practical Statistical Modelling and Machine Learning in R All Levels
Operationalizing COSO,This course examines the COSO attributes and 17 components and speak to what procedures need to be considered.,Advanced,4.2,Udemy,Operationalizing COSO This course examines the COSO attributes and 17 components and speak to what procedures need to be considered. Expert
Apache Kafka Series - Kafka Security | SSL SASL Kerberos ACL,"Hands-On Course - Kafka Security Setup in AWS with SSL Encryption & Authentication, SASL Kerberos, ACL in Zookeeper",Intermediate,4.7,Udemy,"Apache Kafka Series - Kafka Security | SSL SASL Kerberos ACL Hands-On Course - Kafka Security Setup in AWS with SSL Encryption & Authentication, SASL Kerberos, ACL in Zookeeper Intermediate"
Hax to Save Tax for Salaried Employees,Learn tax planning and make your life financially stable,Intermediate,4.2,Udemy,Hax to Save Tax for Salaried Employees Learn tax planning and make your life financially stable All Levels
The Professional Guitar Masterclass,Learn The Tools Used By The World's Top Professional Guitar Players.,Intermediate,4.2,Udemy,The Professional Guitar Masterclass Learn The Tools Used By The World's Top Professional Guitar Players. All Levels
Complete SDLC : Software Development Life Cycle SDLC (2023),A Comprehensive Guide to SDLC : Learn SDLC : Software Development Life Cycle via Real life Case Studies,Intermediate,4.5,Udemy,Complete SDLC : Software Development Life Cycle SDLC (2023) A Comprehensive Guide to SDLC : Learn SDLC : Software Development Life Cycle via Real life Case Studies All Levels
Non-verbal communication and body language for business,Influence every interaction by giving out and reading body language non-verbal communication cues,Beginner,4.3,Udemy,Non-verbal communication and body language for business Influence every interaction by giving out and reading body language non-verbal communication cues Beginner
Mastering Manual Bookkeeping,Level up your bookkeeping skills with practical scenarios and expert guidance,Intermediate,4.0,Udemy,Mastering Manual Bookkeeping Level up your bookkeeping skills with practical scenarios and expert guidance Intermediate
Enterprise Risk Management (ERM) 101,This course covers the basic concepts of Enterprise Risk Management (ERM).,Beginner,4.3,Udemy,Enterprise Risk Management (ERM) 101 This course covers the basic concepts of Enterprise Risk Management (ERM). Beginner
"Web Crawling with Nodejs (H&M, Amazon, LinkedIn, AliExpress)","Learn how to create a web crawler using various methods on popular sites like H&M, Amazon, LinkedIn, AliExpress!",Beginner,3.6,Udemy,"Web Crawling with Nodejs (H&M, Amazon, LinkedIn, AliExpress) Learn how to create a web crawler using various methods on popular sites like H&M, Amazon, LinkedIn, AliExpress! Beginner"
Java Programming: Become a Professional Java Engineer!,Learn Java from start to finish using an exciting project driven approach,Intermediate,4.0,Udemy,Java Programming: Become a Professional Java Engineer! Learn Java from start to finish using an exciting project driven approach All Levels
Excel Charts - Online Training,"Charts - Thermometer Chart, 2-axis Chart, Exploded Pie Charts, Trendline, 80:20, Tips-n-tricks",Intermediate,4.2,Udemy,"Excel Charts - Online Training Charts - Thermometer Chart, 2-axis Chart, Exploded Pie Charts, Trendline, 80:20, Tips-n-tricks All Levels"
SAP BPC Embedded Fundamentals for Planning Applications,Learn how to use SAP BI-IP and BPC Embedded tools to create a planning application from start to finish.,Beginner,4.2,Udemy,SAP BPC Embedded Fundamentals for Planning Applications Learn how to use SAP BI-IP and BPC Embedded tools to create a planning application from start to finish. Beginner
Data Structures and Algorithms: In Depth using C#,"List, Stacks, Queues, Binary Search Trees, Hashing, Heaps, Graphs, Sorting, Searching - Data Structures & Algorithms C#",Beginner,4.5,Udemy,"Data Structures and Algorithms: In Depth using C# List, Stacks, Queues, Binary Search Trees, Hashing, Heaps, Graphs, Sorting, Searching - Data Structures & Algorithms C# Beginner"
How to Make Passive Income with Facebook Videos,In this Course You will learn how you can make solid Passive Income without the need for any experience or a website!,Intermediate,4.1,Udemy,How to Make Passive Income with Facebook Videos In this Course You will learn how you can make solid Passive Income without the need for any experience or a website! All Levels
Google Ads 2023: How to Drive Sales With PPC!,Get started with Google Ads and launch effective PPC advertising campaigns to reach new customers and grow your business,Beginner,4.5,Udemy,Google Ads 2023: How to Drive Sales With PPC! Get started with Google Ads and launch effective PPC advertising campaigns to reach new customers and grow your business Beginner
Master Life Coach & Practitioner| INTERNATIONALLY ACCREDITED,"This professional coaching course is a comprehensive life coaching system, complete with step-by-step session guides",Intermediate,4.8,Udemy,"Master Life Coach & Practitioner| INTERNATIONALLY ACCREDITED This professional coaching course is a comprehensive life coaching system, complete with step-by-step session guides All Levels"
Ultimate Angular Course - Learn Angular Practically,Learn Angular from scratch. Complete hands on Angular course without neglecting basics.,Intermediate,2.6,Udemy,Ultimate Angular Course - Learn Angular Practically Learn Angular from scratch. Complete hands on Angular course without neglecting basics. All Levels
"Python Web Development with Django and Bootstrap, HTML, CSS","Django and Python Web development with HTML, CSS, Bootstrap 4. Build responsive websites with Django and Python",Intermediate,4.4,Udemy,"Python Web Development with Django and Bootstrap, HTML, CSS Django and Python Web development with HTML, CSS, Bootstrap 4. Build responsive websites with Django and Python All Levels"
Teamwork & Collaboration,"Leadership, Business Communication, Problem Solving, Decision Making, Consensus Decision-Making, Collaboration, Teamwork, Team Motivation",Beginner,0.0,edX,"Teamwork & Collaboration Leadership, Business Communication, Problem Solving, Decision Making, Consensus Decision-Making, Collaboration, Teamwork, Team Motivation Introductory"
Succeed at Options Even If You Don't Know Where to Start,How 20K Turns into 1.2M in 10 Years,Intermediate,4.2,Udemy,Succeed at Options Even If You Don't Know Where to Start How 20K Turns into 1.2M in 10 Years All Levels
Investing In Direct Participation Oil And Gas Programs,What the everyday investor really needs to know without all the insider technical information investors can live without,Beginner,5.0,Udemy,Investing In Direct Participation Oil And Gas Programs What the everyday investor really needs to know without all the insider technical information investors can live without Beginner
"Excel: Core Data Analysis, and Workbook Customization","Customizing the User Interface, Functions, Custom Formatting, Data Validation, PivotTables, Charts, Macros, Printing , +",Intermediate,4.6,Udemy,"Excel: Core Data Analysis, and Workbook Customization Customizing the User Interface, Functions, Custom Formatting, Data Validation, PivotTables, Charts, Macros, Printing , + All Levels"
Strategic HR in Modern Times,"Apply strategic thinking to managing the HR function through employees' life-cycle before, during and after employment.",Intermediate,4.2,Udemy,"Strategic HR in Modern Times Apply strategic thinking to managing the HR function through employees' life-cycle before, during and after employment. All Levels"
Complete Guide to Uniswap and Pancakeswap,Use Uniswap & Pancakeswap like a power user. Discover multiple ways to earn fixed income on these exchanges.,Intermediate,4.1,Udemy,Complete Guide to Uniswap and Pancakeswap Use Uniswap & Pancakeswap like a power user. Discover multiple ways to earn fixed income on these exchanges. All Levels
Business Case: Writing Effective Business Cases!,Write Great Business Cases So Your Projects Can Be Approved. Get Noticed & Upskill By Being Great At Business Cases!,Intermediate,4.2,Udemy,Business Case: Writing Effective Business Cases! Write Great Business Cases So Your Projects Can Be Approved. Get Noticed & Upskill By Being Great At Business Cases! All Levels
Digital Marketing Professional Certification,Digital Marketing Certification by The Retail Banking School and preparing for certification at other providers,,4.5,Udemy,Digital Marketing Professional Certification Digital Marketing Certification by The Retail Banking School and preparing for certification at other providers nan
I Am In Control - Mindfulness & Neuroplasticity,Life Coaching | Mind Mastery | Mind Mapping | Mindful Meditation | Control Your Emotions | Unleash Your Potential | CBT,Intermediate,4.6,Udemy,I Am In Control - Mindfulness & Neuroplasticity Life Coaching | Mind Mastery | Mind Mapping | Mindful Meditation | Control Your Emotions | Unleash Your Potential | CBT All Levels
AWS Identity Access Management (IAM) Practical Applications,"Learn IAM User, Group, Policy, Roles and AWS Organization to solve real world problems.  Lots of hands on demo!",Intermediate,4.6,Udemy,"AWS Identity Access Management (IAM) Practical Applications Learn IAM User, Group, Policy, Roles and AWS Organization to solve real world problems.  Lots of hands on demo! Intermediate"
Learn ARKit 2 for iOS 12 from Scratch!,Master ARKit and build AMAZING AR apps for iOS!,Intermediate,2.4,Udemy,Learn ARKit 2 for iOS 12 from Scratch! Master ARKit and build AMAZING AR apps for iOS! All Levels
Concurrency in Go (Golang),Learn the Why's and How's of concurrency in Go.,Intermediate,4.2,Udemy,Concurrency in Go (Golang) Learn the Why's and How's of concurrency in Go. Intermediate
Coding in Unity: Introduction to Shaders,"Make your game look unique through image effects, shaders and custom lighting by learning Unity's ShaderLab language.",Intermediate,3.9,Udemy,"Coding in Unity: Introduction to Shaders Make your game look unique through image effects, shaders and custom lighting by learning Unity's ShaderLab language. Intermediate"
Positive Self Talk - Affirmations & Mindset,"Reprogram your mind for positivity, success and growth",Intermediate,4.6,Udemy,"Positive Self Talk - Affirmations & Mindset Reprogram your mind for positivity, success and growth All Levels"
Learn to code in Java from Scratch,Practical Hands-on coding,Beginner,3.6,Udemy,Learn to code in Java from Scratch Practical Hands-on coding Beginner
Understanding Cost of capital & Capital structure,"Learn from a real value investor & independent board director, MBA, INSEAD IDP with PE & VC experience",Intermediate,4.4,Udemy,"Understanding Cost of capital & Capital structure Learn from a real value investor & independent board director, MBA, INSEAD IDP with PE & VC experience Intermediate"
Building Modern PythonApplications on AWS,"AWS Lambda, Serverless Computing, Python (Programming Language), API Gateway, Authentications, Docker (Software), Workflow Management, Virtual Machines, Amazon Elastic Container Service, Data Processing, Amazon API Gateway, Amazon Elastic Compute Cloud, Hosting, Scalability, Amazon Cognito, Cloud-Native Applications, Internet Hosting Service, Amazon Web Services, Application Programming Interface (API), Infrastructure, Authorization (Computing), Amazon Elastic Kubernetes Service, Application Development",Beginner,0.0,edX,"Building Modern PythonApplications on AWS AWS Lambda, Serverless Computing, Python (Programming Language), API Gateway, Authentications, Docker (Software), Workflow Management, Virtual Machines, Amazon Elastic Container Service, Data Processing, Amazon API Gateway, Amazon Elastic Compute Cloud, Hosting, Scalability, Amazon Cognito, Cloud-Native Applications, Internet Hosting Service, Amazon Web Services, Application Programming Interface (API), Infrastructure, Authorization (Computing), Amazon Elastic Kubernetes Service, Application Development Introductory"
15+ Microsoft Power Automate Business Use Cases,Practical Use Cases that brings immediate value to the Business,Beginner,4.1,Udemy,15+ Microsoft Power Automate Business Use Cases Practical Use Cases that brings immediate value to the Business Beginner
Microsoft Access VBA for Non Programmers - YOU Can Do This!,Microsoft Access VBA can be learned quickly even if you've never done programming!  Make complex jobs easy with VBA!,Intermediate,4.4,Udemy,Microsoft Access VBA for Non Programmers - YOU Can Do This! Microsoft Access VBA can be learned quickly even if you've never done programming!  Make complex jobs easy with VBA! All Levels
"Financial Analysis, from Scratch to Professional!","Acquire the theory and practice necessary to ace a job interview, to advance your career and to increase your salary",Beginner,4.5,Udemy,"Financial Analysis, from Scratch to Professional! Acquire the theory and practice necessary to ace a job interview, to advance your career and to increase your salary Beginner"
Understanding Personality Types at Work,"Discovering Personalities | Enhance Collaboration, Productivity and Communication | MBTI Insights",Intermediate,4.5,Udemy,"Understanding Personality Types at Work Discovering Personalities | Enhance Collaboration, Productivity and Communication | MBTI Insights Intermediate"
Red Team Ethical Hacking - Intermediate,Intermediate level concepts and tactics of Red Team Post Exploitation on a Windows Domain,Intermediate,4.2,Udemy,Red Team Ethical Hacking - Intermediate Intermediate level concepts and tactics of Red Team Post Exploitation on a Windows Domain Intermediate
Python Data Science Fundamentals: Getting Started,"Python Data Science Fundamentals: Dive into NumPy, Pandas, Matplotlib, and Scikit-learn for Powerful Data Insights",Beginner,4.2,Udemy,"Python Data Science Fundamentals: Getting Started Python Data Science Fundamentals: Dive into NumPy, Pandas, Matplotlib, and Scikit-learn for Powerful Data Insights Beginner"
Therapeutic Art Life Coach Certification  (Accredited),"Therapeutic Art: Help Clients Heal, Reduce Stress & Manifest Dreams with Mandalas, Affirmations, Vision Boards & More",Intermediate,4.4,Udemy,"Therapeutic Art Life Coach Certification  (Accredited) Therapeutic Art: Help Clients Heal, Reduce Stress & Manifest Dreams with Mandalas, Affirmations, Vision Boards & More All Levels"
Financial Crime Investigation and Report Writing,Learn key skills for Financial Crime Investigation and Report Writing,Intermediate,4.8,Udemy,Financial Crime Investigation and Report Writing Learn key skills for Financial Crime Investigation and Report Writing Intermediate
Advanced Python for Data Analysis,Master python with this course and learn how to build any python program with ease and use them in data analysis,Intermediate,4.1,Udemy,Advanced Python for Data Analysis Master python with this course and learn how to build any python program with ease and use them in data analysis All Levels
"NFT Masterclass: Buy, Create and Sell NFTs","Learn everything you need to know about NFT (Non-Fungible-Token), Smart Contracts, Generative Art, NFT Security, Minting",Intermediate,5.0,Udemy,"NFT Masterclass: Buy, Create and Sell NFTs Learn everything you need to know about NFT (Non-Fungible-Token), Smart Contracts, Generative Art, NFT Security, Minting All Levels"
AWS Certified Machine Learning Specialty Practice Exams,AWS Certified Machine Learning Practice Tests w/ Complete Explanations and References that covers all MLS-C01 topics!,,4.7,Udemy,AWS Certified Machine Learning Specialty Practice Exams AWS Certified Machine Learning Practice Tests w/ Complete Explanations and References that covers all MLS-C01 topics! nan
Graduate Certificate in Digital Marketing,"{"" Leadership and Management"","" Accounting"","" Financial Accounting"","" Finance"","" Financial Analysis"","" Business Analysis"","" Strategy"","" Marketing"","" Financial Management"","" Critical Thinking"","" Decision Making"","" Data Analysis"","" General Accounting"","" Strategy and Operations"","" Market Analysis"","" Generally Accepted Accounting Principles (GAAP)"","" Taxes"","" Entrepreneurship"","" Management Accounting"","" Investment Management"","" Mergers & Acquisitions"","" Risk Management"","" Communication"","" Market Research"","" Regulations and Compliance"","" Cost Accounting"","" Problem Solving"","" Digital Marketing"","" Account Management"","" Accounts Payable and Receivable"","" Corporate Accouting"","" Marketing Management"","" Business Development"","" Business Process Management"","" Data Management"","" Exploratory Data Analysis"","" Statistical Programming"","" Media Strategy & Planning"","" Probability & Statistics"","" Data Visualization"","" Innovation"","" Audit"","" Leadership Development"","" Planning"","" Business Transformation"","" Banking"","" Performance Management"","" Business Intelligence"","" Cash Management"","" Product Strategy"","" Python Programming"","" Sales"","" Statistical Analysis"","" Social Media"","" Brand Management"","" Business Psychology"","" Customer Analysis"","" Business Communication"","" Creativity"","" Organizational Development"","" Product Management"","" Research and Design"","" Securities Trading"","" Culture"","" Data Analysis Software"","" Machine Learning"","" Business Design"","" Advertising"","" Behavioral Economics"","" Customer Relationship Management"","" Human Learning"","" People Analysis"","" Process Analysis"","" R Programming"","" Correlation And Dependence"","" General Statistics"","" Influencing"","" People Management"","" Interactive Data Visualization"","" Adaptability"","" Change Management"","" Conflict Management"","" Marketing Design"","" Operational Analysis"","" Project Management"","" Advertising Sales"","" Collaboration"","" Regression"","" Statistical Machine Learning"","" Human Resources"","" Negotiation"","" Basic Descriptive Statistics"","" Benefits"","" Big Data"","" Budget Management"","" Data Model"","" Emotional Intelligence"","" Operations Management"","" Plot (Graphics)"","" Data Visualization Software"","" Probability Distribution"","" Statistical Tests"","" Storytelling"","" Algorithms"","" Computer Programming"","" Data Mining"","" Employee Relations"","" Securities Sales"","" Business Research"","" Data Structures"","" Machine Learning Algorithms"","" Visualization (Computer Graphics)"","" Contract Management"","" Extract"","" Transform"","" Load"","" Databases"","" Entrepreneurial Finance"","" Forecasting"","" Game Theory"","" Supply Chain and Logistics"","" Visual Design"","" Accounting Software"","" Econometrics"","" Experiment"","" Natural Language Processing"","" SQL"","" Theoretical Computer Science"","" Data Architecture"","" Microsoft Excel""}",,,Coursera,"Graduate Certificate in Digital Marketing {"" Leadership and Management"","" Accounting"","" Financial Accounting"","" Finance"","" Financial Analysis"","" Business Analysis"","" Strategy"","" Marketing"","" Financial Management"","" Critical Thinking"","" Decision Making"","" Data Analysis"","" General Accounting"","" Strategy and Operations"","" Market Analysis"","" Generally Accepted Accounting Principles (GAAP)"","" Taxes"","" Entrepreneurship"","" Management Accounting"","" Investment Management"","" Mergers & Acquisitions"","" Risk Management"","" Communication"","" Market Research"","" Regulations and Compliance"","" Cost Accounting"","" Problem Solving"","" Digital Marketing"","" Account Management"","" Accounts Payable and Receivable"","" Corporate Accouting"","" Marketing Management"","" Business Development"","" Business Process Management"","" Data Management"","" Exploratory Data Analysis"","" Statistical Programming"","" Media Strategy & Planning"","" Probability & Statistics"","" Data Visualization"","" Innovation"","" Audit"","" Leadership Development"","" Planning"","" Business Transformation"","" Banking"","" Performance Management"","" Business Intelligence"","" Cash Management"","" Product Strategy"","" Python Programming"","" Sales"","" Statistical Analysis"","" Social Media"","" Brand Management"","" Business Psychology"","" Customer Analysis"","" Business Communication"","" Creativity"","" Organizational Development"","" Product Management"","" Research and Design"","" Securities Trading"","" Culture"","" Data Analysis Software"","" Machine Learning"","" Business Design"","" Advertising"","" Behavioral Economics"","" Customer Relationship Management"","" Human Learning"","" People Analysis"","" Process Analysis"","" R Programming"","" Correlation And Dependence"","" General Statistics"","" Influencing"","" People Management"","" Interactive Data Visualization"","" Adaptability"","" Change Management"","" Conflict Management"","" Marketing Design"","" Operational Analysis"","" Project Management"","" Advertising Sales"","" Collaboration"","" Regression"","" Statistical Machine Learning"","" Human Resources"","" Negotiation"","" Basic Descriptive Statistics"","" Benefits"","" Big Data"","" Budget Management"","" Data Model"","" Emotional Intelligence"","" Operations Management"","" Plot (Graphics)"","" Data Visualization Software"","" Probability Distribution"","" Statistical Tests"","" Storytelling"","" Algorithms"","" Computer Programming"","" Data Mining"","" Employee Relations"","" Securities Sales"","" Business Research"","" Data Structures"","" Machine Learning Algorithms"","" Visualization (Computer Graphics)"","" Contract Management"","" Extract"","" Transform"","" Load"","" Databases"","" Entrepreneurial Finance"","" Forecasting"","" Game Theory"","" Supply Chain and Logistics"","" Visual Design"","" Accounting Software"","" Econometrics"","" Experiment"","" Natural Language Processing"","" SQL"","" Theoretical Computer Science"","" Data Architecture"","" Microsoft Excel""} nan"
Blender 3D Model a Ghibli Art Stylized Scene,Master 3D Modeling in Blender: Design a Ghibli Art Asian-themed Oriental Fantasy Island Floating in the Sky,Intermediate,4.6,Udemy,Blender 3D Model a Ghibli Art Stylized Scene Master 3D Modeling in Blender: Design a Ghibli Art Asian-themed Oriental Fantasy Island Floating in the Sky All Levels
Java Multithreading and Parallel Programming Masterclass,"Learn Multithreading the right way in a complete, step-by-step guide",Intermediate,4.8,Udemy,"Java Multithreading and Parallel Programming Masterclass Learn Multithreading the right way in a complete, step-by-step guide All Levels"
An Abundance Mindset: How to Craft Yours,Abundance is a specific mindset characteristic & habit. Learn the art of creating abundance today.,Beginner,4.2,Udemy,An Abundance Mindset: How to Craft Yours Abundance is a specific mindset characteristic & habit. Learn the art of creating abundance today. Beginner
How to build a Weekly Passive Income with Dividend Investing,Learn how you can automate a new Weekly Passive Income stream with Dividend Stocks,Intermediate,4.2,Udemy,How to build a Weekly Passive Income with Dividend Investing Learn how you can automate a new Weekly Passive Income stream with Dividend Stocks All Levels
